affiliation weight,title weight,abstract weight,full text weight,precision,recall
0.1,0.1,0.8,0.837,0.760,0.783
0.1,0.2,0.7,0.847,0.770,0.795
0.1,0.3,0.6,0.865,0.780,0.809
0.1,0.4,0.5,0.865,0.780,0.809
0.1,0.5,0.4,0.865,0.780,0.809
0.1,0.6,0.3,0.866,0.790,0.815
0.1,0.7,0.2,0.868,0.810,0.825
0.1,0.8,0.1,0.846,0.800,0.813
0.2,0.1,0.7,0.859,0.770,0.800
0.2,0.2,0.6,0.860,0.780,0.806
0.2,0.3,0.5,0.862,0.800,0.817
0.2,0.4,0.4,0.862,0.800,0.817
0.2,0.5,0.3,0.859,0.790,0.809
0.2,0.6,0.2,0.859,0.790,0.809
0.2,0.7,0.1,0.859,0.790,0.809
0.3,0.1,0.6,0.862,0.800,0.820
0.3,0.2,0.5,0.862,0.800,0.820
0.3,0.3,0.4,0.877,0.810,0.832
0.3,0.4,0.3,0.877,0.810,0.832
0.3,0.5,0.2,0.877,0.810,0.832
0.3,0.6,0.1,0.877,0.810,0.832
0.4,0.1,0.5,0.877,0.810,0.832
0.4,0.2,0.4,0.877,0.810,0.832
0.4,0.3,0.3,0.877,0.810,0.832
0.4,0.4,0.2,0.877,0.810,0.832
0.4,0.5,0.1,0.889,0.820,0.842
0.5,0.1,0.4,0.877,0.810,0.832
0.5,0.2,0.3,0.877,0.810,0.832
0.5,0.3,0.2,0.899,0.830,0.852
0.5,0.4,0.1,0.899,0.830,0.852
0.6,0.1,0.3,0.881,0.830,0.843
0.6,0.2,0.2,0.881,0.830,0.843
0.6,0.3,0.1,0.881,0.830,0.843
0.7,0.1,0.2,0.881,0.830,0.843
0.7,0.2,0.1,0.891,0.840,0.855
0.8,0.1,0.1,0.896,0.850,0.863
